url,name,header,ciudad,precio_por_noche,rating,review,valor_ciudad,Anfitrion particular,Anfitrion profesional
/rooms/47505891?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000517_yoE5J3vO6VFLC8pk&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en Valencia,Loft salvaje y acogedor con un estilo Boho junto a la playa,valencia,101,4.98,249,3,1,0
/rooms/997063990758123324?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000517_3AWN0u3DQa%2FWmNpC&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Loft exclusivo y encantador de 2 DORMITORIOS,valencia,143,5.0,19,3,1,0
/rooms/989715583684599248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000517_XX7NZJFfmf2hIyfG&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Apartamento con piscina y terraza,valencia,108,4.79,19,3,0,1
/rooms/2211787?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000517_7FVH1sKsyWPhPQyz&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,"Loft City center/wifi rápido, elevador, equipe completo",valencia,61,4.77,474,3,1,0
/rooms/26857863?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000517_%2BBx1UI9JwpvjWwf7&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en Valencia,"Increíble loft de playa mediterránea, consigna de equipaje",valencia,114,4.97,247,3,1,0
/rooms/1024058700043118589?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1705000517_2bS7lS%2BqzLhhUvTx&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Apartamento Lujo. Mejor vista panorámica Valencia!,valencia,139,5.0,19,3,1,0
/rooms/15714059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-18&check_out=2024-02-23&source_impression_id=p3_1705000517_bpmPdE1me5t1CIuS&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Apartamento en centro histórico,valencia,60,4.44,362,3,1,0
/rooms/23690510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1705000517_vy4zxKlucDV6W9vP&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Ciudad de las Artes y Ciencias con garaje,valencia,82,4.87,380,3,1,0
/rooms/595233?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1705000517_uoy3zw6TiAmzq0Ir&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apto. residencial en Mislata,Valencia frente al lago. Garaje y bicis gratis,valencia,76,4.88,381,3,1,0
/rooms/12758773?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000518_nom4yUgCwihTGxcV&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Apartamento “Mi rincón del Carmen”,valencia,72,4.57,518,3,1,0
/rooms/20277809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000518_eiqqJGMTVGal5%2Bcg&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,A&J,valencia,87,4.98,500,3,1,0
/rooms/21630595?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-19&check_out=2024-01-24&source_impression_id=p3_1705000518_cERpo0zTYsX6hjS6&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Apartamento Maravilloso. Centro de Valencia (WIFI),valencia,147,4.99,255,3,0,1
