url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/18565479?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-28&check_out=2024-08-02&source_impression_id=p3_1705000412_DDCjr3lKbj2ma7Ap&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,PISO MODERNO EN PLENO CENTRO DE MADRID,"4,53 (224)",67 € por noche,Anfitrión particular,Madrid
/rooms/4596254?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1705000412_2%2BqR9QoNbAJupRH%2B&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Loft en Centro Madrid,"Amplio y confortable,  en el corazón de Madrid","4,58 (221)","75 € por noche, inicialmente 88 €",Anfitrión profesional,Madrid
/rooms/1013615811358874376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_nM00PDdEBhkyjFA8&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Salamanca,Alegría Urbana cerca de calle Alcalá,"4,67 (6)","65 € por noche, inicialmente 73 €",Anfitrión profesional,Madrid
/rooms/571128683538626604?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000412_PVdihaFq3SCuOa5a&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Loft en Centro Madrid,Apartamento Amazonico en el centro de la ciudad,"4,74 (124)","83 € por noche, inicialmente 99 €",Anfitrión profesional,Madrid
/rooms/1030350960891102089?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_rtkHVfDtZeQq%2F%2BNb&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,Perfect Studio Latina,Nuevo,58 € por noche,Anfitrión particular,Madrid
/rooms/15562768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000412_Hylr%2Fx4mmqZgRgK0&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,Apartamento con encanto y elegancia,"4,71 (474)","80 € por noche, inicialmente 95 €",Anfitrión particular,Madrid
/rooms/29121517?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_jEMz0CEoeSlqa%2Bsh&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apto. residencial en Centro Madrid,Madrid las Letras,"4,8 (332)","88 € por noche, inicialmente 108 €",Anfitrión particular,Madrid
/rooms/18155070?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000412_X4PTyznw7ZUBvZpU&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Ciudad Lineal,Encantador apartamento. WIFI. AIRE acondicionado. 2'metro.,"4,8 (307)",81 € por noche,Anfitrión particular,Madrid
/rooms/1064561073381804834?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000412_IPpZyLv8pZdbKcWz&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Latina,Apartamento totalmente amueblado con balcón y aire acondicionado,Nuevo,"70 € por noche, inicialmente 83 €",Anfitrión particular,Madrid
/rooms/778950138681379417?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_gCv%2BK1dCd2SUAkQ7&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,Piso de arte urbano en el centro de la ciudad,"4,86 (78)","81 € por noche, inicialmente 91 €",Anfitrión profesional,Madrid
/rooms/42704893?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_wclWDxv0wveVfrB9&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,CAVA BAJA / LA LATINA - luminosa y acogedora,"4,9 (100)","102 € por noche, inicialmente 146 €",Anfitrión profesional,Madrid
/rooms/1038841295483333145?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_qlj05aM3bbMDxyVl&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Villaverde,Apartamento 2 habs VillaVerde 1A,Nuevo,62 € por noche,Anfitrión particular,Madrid
/rooms/737457422173195817?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000412_APv2WXdM%2B%2FFGo2HB&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en San Blas,"Apartamento amplio, luminoso y confortable.","4,8 (75)","68 € por noche, inicialmente 84 €",Anfitrión particular,Madrid
/rooms/1272747?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000412_1vkzAMQVp9htJtGP&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Centro Madrid,"Apart A Gran Via-Palacio Real, Equipped with AC!","4,68 (341)","81 € por noche, inicialmente 102 €",Anfitrión profesional,Madrid
/rooms/17267431?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-26&check_out=2024-01-31&source_impression_id=p3_1705000412_zKtBXwViMMD75JNW&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Chamartín,Acogedor y luminoso apartamento ZONA BERNABEU,"4,65 (168)","89 € por noche, inicialmente 104 €",Anfitrión particular,Madrid
/rooms/34862268?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=758764518&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000412_ZEXnDPlyuKDG0GDK&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Habitación en Retiro,Habitación en el centro de Madrid.,"4,69 (383)",", ",Quédate con Adrián,Madrid
