url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/47505891?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000517_yoE5J3vO6VFLC8pk&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en València,Loft salvaje y acogedor con un estilo Boho junto a la playa,"4,98 (249)","101 € por noche, inicialmente 122 €",Anfitrión particular,Valencia
/rooms/997063990758123324?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000517_3AWN0u3DQa%2FWmNpC&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Loft exclusivo y encantador de 2 DORMITORIOS,"5,0 (19)","143 € por noche, inicialmente 158 €",Anfitrión particular,Valencia
/rooms/989715583684599248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000517_XX7NZJFfmf2hIyfG&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento con piscina y terraza,"4,79 (19)","108 € por noche, inicialmente 143 €",Anfitrión profesional,Valencia
/rooms/1064474804699896412?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000517_eEFnQ6D3p4BTLb7Y&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento Lonja de la Seda,Nuevo,83 € por noche,Anfitrión particular,Valencia
/rooms/2211787?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000517_7FVH1sKsyWPhPQyz&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,"Loft City center/wifi rápido, elevador, equipe completo","4,77 (474)","61 € por noche, inicialmente 71 €",Anfitrión particular,Valencia
/rooms/26857863?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000517_%2BBx1UI9JwpvjWwf7&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en València,"Increíble loft de playa mediterránea, consigna de equipaje","4,97 (247)",114 € por noche,Anfitrión particular,Valencia
/rooms/1024058700043118589?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1705000517_2bS7lS%2BqzLhhUvTx&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento Lujo. Mejor vista panorámica Valencia!,"5,0 (19)",139 € por noche,Anfitrión particular,Valencia
/rooms/15714059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-18&check_out=2024-02-23&source_impression_id=p3_1705000517_bpmPdE1me5t1CIuS&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento en centro histórico,"4,44 (362)",60 € por noche,Anfitrión particular,Valencia
/rooms/23690510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1705000517_vy4zxKlucDV6W9vP&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Ciudad de las Artes y Ciencias con garaje,"4,87 (380)",82 € por noche,Anfitrión particular,Valencia
/rooms/595233?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1705000517_uoy3zw6TiAmzq0Ir&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apto. residencial en Mislata,Valencia frente al lago. Garaje y bicis gratis,"4,88 (381)","76 € por noche, inicialmente 86 €",Anfitrión particular,Valencia
/rooms/12758773?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000518_nom4yUgCwihTGxcV&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento “Mi rincón del Carmen”,"4,57 (518)",72 € por noche,Anfitrión particular,Valencia
/rooms/20277809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000518_eiqqJGMTVGal5%2Bcg&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,A&J,"4,98 (500)","87 € por noche, inicialmente 101 €",Anfitrión particular,Valencia
/rooms/21630595?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-19&check_out=2024-01-24&source_impression_id=p3_1705000518_cERpo0zTYsX6hjS6&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Apartamento Maravilloso. Centro de Valencia (WIFI),"4,99 (255)","147 € por noche, inicialmente 193 €",Anfitrión profesional,Valencia
/rooms/53172212?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000518_wnT9aH9gd3VbO3os&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,MAGNÍFICO APARTAMENTO EN EL CENTRO DE RUZAFA 2,"4,98 (109)",199 € por noche,Anfitrión particular,Valencia
/rooms/1021788181406227237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000518_SJZBBN5BxWhsAKVF&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Estudio Pau @valenciayole,"5,0 (9)","90 € por noche, inicialmente 140 €",Anfitrión particular,Valencia
/rooms/830460719034069544?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000518_AGebYSBxktmtG3jb&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en València,Nuevo.Loft_FREE. Estacionamiento,"4,9 (52)",88 € por noche,Anfitrión particular,Valencia
/rooms/925930708044688510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000518_LUkAuBseAe%2BexEH%2B&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Port Saplaya,Piso de 3 dormitorios frente a la playa,"4,88 (26)","113 € por noche, inicialmente 136 €",Anfitrión particular,Valencia
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000518_aAIREJlSzJSzLVGI&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Ático en la catedral con terraza sur,"4,87 (249)",108 € por noche,Anfitrión particular,Valencia
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000519_SnZQCsCqBbvdCC7z&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Ático en la catedral con terraza sur,"4,87 (249)",108 € por noche,Anfitrión particular,Valencia
