apartment_id,name,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city,insert_date,bookable_False,bookable_True,mes,Estacion
36187629,Piso reformado excelente ubicacion,4,2,3,3,90,5,20,0,4,34,34,1,100,10,10,10,10,10,10,0.22,valencia,2019-12-31,0,1,12,otoño
5388904,Nice Room in a Penthouse,1,1,1,1,100,1,1125,0,0,0,0,1,80,8,8,8,10,10,10,0.01,barcelona,2021-01-12,1,0,1,invierno
30808704,Habitación en Madrid! <<Wifi>>Perfecto para 2!!!,2,1,1,1,31,3,30,30,60,90,271,33,95,10,9,10,10,9,9,1.53,madrid,2020-10-17,0,1,10,otoño
23409834,HABITACIÓN EN BARRIO DE SALAMANCA,1,1,1,1,40,2,30,3,31,61,336,11,80,9,7,10,10,10,8,0.83,madrid,2019-05-14,0,1,5,primavera
1254955,Madrid Central flat - Reina Sofía,4,1,2,2,65,5,1125,1,1,1,258,46,91,10,9,10,10,10,9,0.63,madrid,2019-09-19,1,0,9,verano
18750489,Can Gran Via,2,2,1,1,35,6,30,0,0,0,0,1,100,10,10,10,10,10,10,0.36,barcelona,2017-11-13,0,1,11,otoño
26274545,"Flat bonito, nuevo y tranquilo CENTRO",4,1,3,3,42,4,1125,8,31,48,112,11,91,10,9,10,10,9,10,1.27,valencia,2019-03-31,1,0,3,invierno
38259169,Lujosa  Habitacion De Matrimonio Con WiFi,2,1,1,1,32,2,31,30,60,90,180,32,81,9,9,9,8,9,9,2.25,barcelona,2020-11-06,0,1,11,otoño
33766241,Spacious n´bright room in Madrid Center,2,2,1,1,50,2,1125,16,16,16,16,6,90,10,10,10,10,10,9,0.89,madrid,2019-11-09,0,1,11,otoño
23473002,Bienvenidos/as a vuestro hogar,4,1,1,2,18,2,1125,16,29,53,53,20,80,9,8,9,9,9,8,2.65,madrid,2018-11-07,0,1,11,otoño
22154964,NEW LUXURIOUS APARTMENT  -  VINE A CASA  2,6,2,2,4,71,32,1125,0,0,0,251,6,100,10,10,10,10,10,10,0.44,barcelona,2019-04-10,0,1,4,primavera
23744025,Primera línea de playa. Ideal Familias! WIFI!,8,2,4,6,74,2,60,22,47,71,309,7,91,10,7,10,10,9,9,0.85,valencia,2019-02-28,1,0,2,invierno
37042024,2BDR duplex for 9px in Hortaleza near metro,9,3,2,6,90,2,365,16,46,76,160,16,88,9,9,8,8,8,9,0.96,madrid,2020-12-17,1,0,12,otoño
23783093,MADRID CENTRO/MUSEOS - RETIRO. JUNTO METRO Y AVE.,4,1,2,3,65,3,1124,0,0,0,0,10,84,10,9,10,10,10,9,0.31,madrid,2021-01-12,0,1,1,invierno
19733367,"Charming, comfy & central dbl room",1,1,1,1,32,3,1125,20,38,68,68,6,100,10,10,10,10,10,10,0.99,barcelona,2018-01-17,1,0,1,invierno
3942375,"Relax in a Chic, Modern Apartment near Park Güell",6,1,3,5,155,3,1125,3,7,12,270,67,97,10,10,10,10,9,10,1.47,barcelona,2018-07-10,0,1,7,verano
26567697,big  room &Private toilet in plaza mayor,6,2,2,3,49,3,1125,10,15,17,17,2,100,9,9,9,9,10,9,1.03,madrid,2018-09-11,0,1,9,verano
15507285,"Double Bedroom / Private bathroom, Sagrada Familia",2,2,1,1,59,2,6,5,31,61,68,64,95,10,9,10,10,10,9,1.68,barcelona,2019-12-10,0,1,12,otoño
