nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
Piso reformado excelente ubicacion,90,1,100,valencia,196697,45
Nice Room in a Penthouse,100,1,80,barcelona,197152,100
Habitación en Madrid! <<Wifi>>Perfecto para 2!!!,31,33,95,madrid,152465,90
HABITACIÓN EN BARRIO DE SALAMANCA,40,11,80,madrid,152465,90
Madrid Central flat - Reina Sofía,65,46,91,madrid,152465,90
Can Gran Via,35,1,100,barcelona,197152,100
"Flat bonito, nuevo y tranquilo CENTRO",42,11,91,valencia,196697,45
Lujosa  Habitacion De Matrimonio Con WiFi,32,32,81,barcelona,197152,100
Spacious n´bright room in Madrid Center,50,6,90,madrid,152465,90
Bienvenidos/as a vuestro hogar,18,20,80,madrid,152465,90
NEW LUXURIOUS APARTMENT  -  VINE A CASA  2,71,6,100,barcelona,197152,100
Primera línea de playa. Ideal Familias! WIFI!,74,7,91,valencia,196697,45
2BDR duplex for 9px in Hortaleza near metro,90,16,88,madrid,152465,90
MADRID CENTRO/MUSEOS - RETIRO. JUNTO METRO Y AVE.,65,10,84,madrid,152465,90
"Charming, comfy & central dbl room",32,6,100,barcelona,197152,100
"Relax in a Chic, Modern Apartment near Park Güell",155,67,97,barcelona,197152,100
big  room &Private toilet in plaza mayor,49,2,100,madrid,152465,90
"Double Bedroom / Private bathroom, Sagrada Familia",59,64,95,barcelona,197152,100
Apartamento en Calle Montera,169,1,80,madrid,152465,90
Raval's Virreina,55,89,96,barcelona,197152,100
"nice,sunny room directly in the heart of Barcelona",28,10,86,barcelona,197152,100
Estudio en Plaza Santo Domingo,55,59,93,madrid,152465,90
Apartamento cerca de Ifema,60,21,96,madrid,152465,90
Hab. Privada con 2 camas singles en Gran Vía,25,28,96,madrid,152465,90
"5 STAR CLASSY, MODERN FLAT, GREAT LOCATION, VIEW !",135,2,60,madrid,152465,90
APARTAMENTO MADRID TITANIA 3,51,68,93,madrid,152465,90
functional studio in Lavapies  neighborhood,25,144,84,madrid,152465,90
Chalet-style lovely flat in the Poble Sec,50,76,94,barcelona,197152,100
Habitacion en el Park Guell,37,2,70,barcelona,197152,100
Cozy Room in Barcelona’s heart,33,2,100,barcelona,197152,100
The Blue Room in our Family Luxury Apartment,57,64,97,barcelona,197152,100
Casa en Centro Barcelona 4,58,11,88,barcelona,197152,100
Chic apart. District Salamanca-Retiro-Goya-Alcala,65,27,90,madrid,152465,90
Stable 2 Loft,100,58,93,madrid,152465,90
Stylish city apartment in Rusafa.,71,9,100,valencia,196697,45
"Luminoso, confortable - Junto IFEMA y Aeropuerto",200,11,96,madrid,152465,90
Zona centro atrás de gran via Madrid,37,17,91,madrid,152465,90
Renewed 1BD Ancient Palace- La Latina,90,51,93,madrid,152465,90
Eco-Friendly Apartment BARCELONA for 6,60,133,95,barcelona,197152,100
"327 - AB Central Villarroel - Trendy City Centre Apartment with a Balcony, 15 Minutes from Plaça de Catalunya",350,15,83,barcelona,197152,100
Estudio en el corazón de Valencia,35,6,96,valencia,196697,45
R1- Single room next to the council,15,85,92,valencia,196697,45
"D4 Single room, Wifi, comfortable. ONLY GIRLS",16,1,100,valencia,196697,45
Gran habitación privada en Retiro,26,31,99,madrid,152465,90
Cómoda habitación,18,52,83,madrid,152465,90
Matrimonio Gay comparte cómoda habitación,35,18,96,barcelona,197152,100
Room in the heart of the old town (born area),110,30,88,barcelona,197152,100
Cosy Large Room Malasaña,45,11,94,madrid,152465,90
Penthouse with Roof Pool & Stunning Barcelona View,369,3,93,barcelona,197152,100
Habitación doble privada cerca del Camp Nou,25,2,90,barcelona,197152,100
Habitacion doble MUY CENTRICA 5min rambla exterior,8,8,93,barcelona,197152,100
Balham House / Plaza Mayor,131,13,87,madrid,152465,90
Bright room with a balcony in vibrant Lavapies,35,3,100,madrid,152465,90
En el oasis de la ciudad,65,16,85,valencia,196697,45
Apto.con vistas a la Puerta del Sol,100,225,96,madrid,152465,90
Bonito Alojamiento con terraza - WIFI gratis (F1),47,17,94,valencia,196697,45
APARTAMENT TURISTIC 32 GRAN VIA CENTRO PUERTA SOL,45,117,85,madrid,152465,90
Cozy Double Bedroom,45,53,91,barcelona,197152,100
Letsgo Spacious Eixample Aprtm. + private terrace!,90,3,73,barcelona,197152,100
"Luminoso  Piso en Legazpi, (Matadero )",60,138,91,madrid,152465,90
"Puerta 7 of Denia 68 in Ruzafa, Valencia!",60,19,97,valencia,196697,45
Madrid Centro apartamento con Wifi,29,79,87,madrid,152465,90
"Dover 11, Friendly Rentals",127,79,89,barcelona,197152,100
Cosy Fully Renovated Room - Sagrada Familia,14,28,99,barcelona,197152,100
Apartment 3 RuzafaRooms Valencia,195,15,79,valencia,196697,45
YH9/2-Suissa|Bright & comfy apartment in Barcelona,100,2,80,barcelona,197152,100
COSY BEDROOM IN FRIENDLY HOME/ CHAMBRE CONFORTABLE,21,64,95,barcelona,197152,100
L,90,8,83,madrid,152465,90
Habitación Individual en el centro de Barcelona,15,104,91,barcelona,197152,100
Double room & private toilet near Sagrada Familia,29,14,99,barcelona,197152,100
LARGE SUITE A LOT OF PRIVACY PRIVATE BATHROOM,60,4,90,barcelona,197152,100
Central apartment in Madrid,94,8,75,madrid,152465,90
"ROOM CENTRIC, PERFECT for CITY VISITORS",24,435,98,barcelona,197152,100
Cozy room center of Madrid/Habitación privada,33,25,98,madrid,152465,90
2 BEDROOMS 2 BATHROOMS CENTRE MADRID (SOL),120,15,91,madrid,152465,90
Seafront luxe with terrace and pool II,200,6,97,barcelona,197152,100
HABITACION PRIVADA HERON CITY,20,2,90,barcelona,197152,100
COZY ROOM NEAR SANTS STATION & WIFI,15,51,83,barcelona,197152,100
BEAUTIFUL FLAT-CENTRAL-SUNNY-WIFI PORTATIL,90,86,93,valencia,196697,45
210 Centric Apartment MACBA,339,2,100,barcelona,197152,100
Pretty Room for two in the heart of Barcelona,37,10,82,barcelona,197152,100
"Habitación doble, céntrica y luminosa",40,3,100,madrid,152465,90
3-BEDROOM NEAR GRACIA WITH TERRACE,296,22,94,barcelona,197152,100
Coqueta habitacion privada playa cabañal,23,77,92,valencia,196697,45
Cozy Accommodation Barcelona,63,6,77,barcelona,197152,100
Palacete en el centro de Madrid,80,2,100,madrid,152465,90
Apartamento. Barrio las Letras.,75,75,94,madrid,152465,90
Flats Friends Nave 3 bedrooms for 8,70,7,86,valencia,196697,45
Apartamento situado en principe pío,120,50,90,madrid,152465,90
Habitacion doble en Sagrada Familia,49,6,53,barcelona,197152,100
Cozy room Barcelona Downtown,59,6,100,barcelona,197152,100
Double bedroom/Private bathroom,90,26,97,barcelona,197152,100
Great Room for 4 people over Gran Via street,30,41,94,madrid,152465,90
Piso barrio Eixample Esquerra 95 metros.,45,8,97,barcelona,197152,100
Comte Urgell Barcelona,100,139,87,barcelona,197152,100
Nice individual room and friendly flat,27,8,71,barcelona,197152,100
DOUBLE ROOM. Bright and spacious,45,42,97,barcelona,197152,100
Amazing and bright apartment to enjoy Madrid,100,30,97,madrid,152465,90
Habitación doble en suite excelente ubicación,29,54,93,valencia,196697,45
"Central private room and bathroom, sunny terrace !",60,13,100,barcelona,197152,100
One bedroom with lovely balcony next Plaza España,161,4,80,barcelona,197152,100
"Agradable, funcional y luminoso (Tirso, La Latina)",48,79,92,madrid,152465,90
Beautiful apartment to Enjoy the real Barcelona,160,141,91,barcelona,197152,100
"Well Connected Cozy, Beautiful Room Heart Madrid..",30,3,100,madrid,152465,90
"Great apartment, city centre, cozy",31,39,92,madrid,152465,90
Madrid City Center. Quiet and bright.,100,69,98,madrid,152465,90
"4""COZY ROOM""+¡CAMP NOU!",25,9,95,barcelona,197152,100
Modern Apartment Room Private Bathroom and Balcony,33,13,98,madrid,152465,90
New apartment in trendy Malasaña area,60,49,100,madrid,152465,90
APARSOL  ÁTICO 203,73,45,90,madrid,152465,90
Comfortable Room with bath for  1 or 2 people.,26,9,95,madrid,152465,90
Plaça Espanya,40,2,100,barcelona,197152,100
"Elegant Apt in Eixample, near Paseo de Gracia",300,34,83,barcelona,197152,100
ATIC BCN CENTRAL TERRACE,155,2,60,barcelona,197152,100
# Romántic room,33,52,93,barcelona,197152,100
SINGLE ROOM IN A BEAUTIFUL APPARTMENT,25,1,100,barcelona,197152,100
One-Bedroom Apartment - Roisa Suites,500,2,80,madrid,152465,90
FROM MADRID TO HEAVEN!,89,147,97,madrid,152465,90
Barcelona/Poblenou: Sun & Culture,30,90,97,barcelona,197152,100
Cozy apartment Port Vell,74,1,100,barcelona,197152,100
Barcelona Super Central Apartment,82,50,99,barcelona,197152,100
Piso con encanto en Benimaclet,145,2,90,valencia,196697,45
LOW COST ROOM,16,10,98,madrid,152465,90
Double room in Barcelona center,22,109,87,barcelona,197152,100
CUTE SAGRADA FAMILIA HUTB-008002,180,113,90,barcelona,197152,100
Apartamento con encanto,45,4,100,madrid,152465,90
Comfortable room with terrace in Barrio Salamanca,29,5,92,madrid,152465,90
Magnificent apartment in the center of Madrid.,100,18,98,madrid,152465,90
CARRETAS - Unique Penthouse with terrace❤PuertadelSol*LUXURY*,118,14,99,madrid,152465,90
Charming 2BR apt with 2 terraces,85,2,90,barcelona,197152,100
Apartamentos Plaza de la Virgen,60,1,100,valencia,196697,45
HomeRentalsMadrid Centro ATICO 41 WiFi&AC,55,32,94,madrid,152465,90
Lugaris Rambla Apartamento Familiar,77,1,100,barcelona,197152,100
"WIDE, SUNNY AND CENTRALLY SITUATED",95,111,93,barcelona,197152,100
Habitación a 5m de la playa,41,56,95,barcelona,197152,100
Double Room in a Beautiful and Centric Location,48,1,100,barcelona,197152,100
2 dormitorios General Oraá MADHOMERENTS WIFI-AC,115,8,98,madrid,152465,90
2528 - AB Gràcia Park Güell 3-1 - Amazing 2-Bedroom Apartment near Park Güell with Lots of Natural Light,77,11,95,barcelona,197152,100
Beautiful & Luxury Apartment centrally-located,270,2,100,barcelona,197152,100
El hogar de Pedro,26,90,98,madrid,152465,90
Apartment near the Historic PORT!!! withTerrace),65,42,91,valencia,196697,45
V29 1 habitación céntrica y limpia,28,1,80,barcelona,197152,100
Fuencarral City Center,112,8,95,madrid,152465,90
Cozy single/double room quiet zone,21,130,96,barcelona,197152,100
Flats Friends Nave 1 bedroom with balcony for 4,50,3,80,valencia,196697,45
Nice & Smart 2bd Poble Sec Wifi,100,101,94,barcelona,197152,100
BRAND NEW Stylish 2 bedroom Appt. in malasaña,189,58,96,madrid,152465,90
Olavide XV,93,4,90,madrid,152465,90
El Jardín del Ángel Tribulete,165,6,96,madrid,152465,90
Apartamento luminoso y céntrico,42,23,93,madrid,152465,90
Habitación + baño privado + ubicación privilegiada,64,24,90,barcelona,197152,100
Cozy & Bright room in apartment close to the beach,60,21,92,barcelona,197152,100
Habitación doble en Poble Sec,38,1,20,barcelona,197152,100
SOL **Stunning Duplex Attic**,233,36,96,madrid,152465,90
VERY CENTER SANT ANTONI UNIVERSIDAD,39,38,90,barcelona,197152,100
"Bright, stylish, balcony, near the Sagrada Familia",150,1,100,barcelona,197152,100
Barcelona Loft Story.,145,45,95,barcelona,197152,100
"Elegant, modern & functional flat in Madrid",90,7,100,madrid,152465,90
Habitación doble cama con BAÑO PRIVADO,20,10,96,barcelona,197152,100
Single bed. Connected my metro to beach and center,35,23,87,barcelona,197152,100
Bright Apartment next to Sagrada Familia,200,35,94,barcelona,197152,100
SIBS BALMES - Romantic Apartment,184,223,97,barcelona,197152,100
Unique&Exclusive Madrid Double Room,50,7,94,madrid,152465,90
Barcelona Near Center Urgell Apt,146,10,72,barcelona,197152,100
"Habitación en zona tranquila, bien comunicado",25,88,96,madrid,152465,90
"Habitación privada, buena situación",35,1,100,barcelona,197152,100
"APARTAMENTO ,VALENCIA!",35,12,88,valencia,196697,45
Habitación privada en apartamento moderno,15,10,96,valencia,196697,45
Stunning design apartment HUTB 010831,125,128,94,barcelona,197152,100
Cómoda y luminosa casa en Argüelles,100,8,100,madrid,152465,90
Apartamento en Barrio Salamanca .,87,26,92,madrid,152465,90
NEW apartment in old Madrid. WIFI,78,187,97,madrid,152465,90
Guest House H5. Habitacion compartida para 4 pax,60,5,88,barcelona,197152,100
"The Best Location in BCN, Double room and balcony",47,76,85,barcelona,197152,100
Rooftop apartment with terrace,120,14,94,barcelona,197152,100
AB Francesc Macià Spacious - Ref. GI2737,95,2,90,barcelona,197152,100
Cosy room located in Example´s golden square,60,22,100,barcelona,197152,100
Salvador Dali Style in Gracia,100,74,91,barcelona,197152,100
Barcelona Center - 1 person,18,9,84,barcelona,197152,100
Private Double Room with balcony! Best Location!,29,24,97,barcelona,197152,100
¡Preciosa soleada habitación en Vlc! playa-univ...,28,12,98,valencia,196697,45
Cozy rooms near Forum and Barcelona center,25,1,80,barcelona,197152,100
LOVELY APARTMENT IN EIXAMPLE NEIGHBORHOOD,120,4,95,barcelona,197152,100
AMBIENTE FAMILIAR 1*/SRA.ALEXANDRA,25,4,95,valencia,196697,45
Cozy and lightful bedroom near the sea,22,5,100,barcelona,197152,100
Habitación con cama de matrimonio,15,1,100,valencia,196697,45
**Double room w/private bathroom Sagrada Familia**,69,5,92,barcelona,197152,100
HABITARAAS MADRID 1910,100,9,98,madrid,152465,90
Apartment with swimming pool and playground,85,7,97,valencia,196697,45
"Apartment with 2 bedrooms and 2 bathrooms, 500 m from the beach.",44,398,95,valencia,196697,45
Single Room 2,17,80,93,madrid,152465,90
Sunset Malasaña for families by Allô Housing,144,7,91,madrid,152465,90
