url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/1834026?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-18&source_impression_id=p3_1704999434_0R%2B7QEAvDynNBVaY&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Barcelona,Barcelona Marta's Flat - SANTS (HUTB-008424‏),"4,68 (235)","80 € por noche, inicialmente 106 €",Anfitrión particular,Barcelona
/rooms/5483016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1704999434_regPQz31a%2BG07YO9&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Barcelona,Fantastico piso con 65m² patio privado,"4,59 (372)","102 € por noche, inicialmente 140 €",Anfitrión particular,Barcelona
/rooms/2343336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1704999434_Vrjp%2B4nOOw8LktFK&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Vivienda en Barcelona,Casa con terraza en el centro  BCN,"4,92 (221)",112 € por noche,Anfitrión particular,Barcelona
/rooms/21719962?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999434_7%2BUZFrQK855QGPTB&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Barcelona,Apartamento con terraza junto a la playa,"4,93 (250)","94 € por noche, inicialmente 126 €",Anfitrión particular,Barcelona
/rooms/22299664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999434_jL4x6RwtoNJ55lr2&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Hospitalet de Llobregat,Apartamento Olala Vibe 3.2 | 15 minutos. Pl. España,"4,43 (124)",78 € por noche,Anfitrión profesional,Barcelona
/rooms/940374?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999434_BGobUmArUWMtOQw7&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apto. residencial en Barcelona,piso moderno cerca plaza Glories,"4,88 (453)",121 € por noche,Anfitrión particular,Barcelona
/rooms/836166399251680904?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1596518729&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1704999434_Iv1jWJhvWxR7mR%2FZ&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Habitación en Barcelona,Habitación privada,"4,66 (35)",", ",Quédate con Dario,Barcelona
/rooms/927418121223302860?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999434_UylxoxsSUdrR8An1&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Hotel en Barcelona,Habitación Doble con Cityview,"4,75 (4)","62 € por noche, inicialmente 87 €",Anfitrión particular,Barcelona
/rooms/926148200165392228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999434_YElekoAn6oPq%2BRCw&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Barcelona,Bonito estudio en El Poble-Sec y junto a Montjuïc,"4,68 (28)","82 € por noche, inicialmente 116 €",Anfitrión particular,Barcelona
/rooms/648385996962982846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999434_BRbXozV714wJIN1E&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apto. residencial en Barcelona,CENTRO. ARC DEL TRIOMF. A 10 MIN A PIE DE TODO,"4,46 (91)","83 € por noche, inicialmente 134 €",Anfitrión particular,Barcelona
/rooms/829229988526268828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999434_KadByspbSYWCF0hK&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Minicasa en Barcelona,Penthouse Loft con terraza privada,"5,0 (13)","105 € por noche, inicialmente 152 €",Anfitrión particular,Barcelona
/rooms/744153?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-18&check_out=2024-02-23&source_impression_id=p3_1704999434_kZ%2BdEDZyE8vBrSRA&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Apartamento en Barcelona,Estudio de la Sagrada Familia,"4,77 (576)",72 € por noche,Anfitrión particular,Barcelona
/rooms/1478299?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-20&check_out=2024-01-25&source_impression_id=p3_1704999434_RWNA9B2D%2B9oJJZQA&previous_page_section_name=1000&federated_search_id=3418b8ac-6e34-48dc-b4f9-432149edda01,Loft en Barcelona,Un espacio con encanto en Barcelona,"4,83 (535)",79 € por noche,Anfitrión particular,Barcelona
